V,y,exp_act,exp_inact,fit_act,fit_inact
-109.2393661384487,0.00018699424979819895,,,0.00018699424979819895,
-109.06922435362802,0.00018699425104565947,,,0.00018699425104565947,
-108.89908256880734,0.00018699425239125767,,,0.00018699425239125767,
-108.72894078398666,0.00018699425384271408,,,0.00018699425384271408,
-108.55879899916597,0.00018699425540835653,,,0.00018699425540835653,
-108.38865721434529,0.00018699425709716808,,,0.00018699425709716808,
-108.2185154295246,0.00018699425891883842,,,0.00018699425891883842,
-108.04837364470391,0.00018699426088381954,,,0.00018699426088381954,
-107.87823185988324,0.0001869942630033857,,,0.0001869942630033857,
-107.70809007506256,0.00018699426528969815,,,0.00018699426528969815,
-107.53794829024187,0.00018699426775587474,,,0.00018699426775587474,
-107.36780650542119,0.00018699427041606544,,,0.00018699427041606544,
-107.1976647206005,0.00018699427328553334,,,0.00018699427328553334,
-107.02752293577981,0.00018699427638074222,,,0.00018699427638074222,
-106.85738115095913,0.00018699427971945117,,,0.00018699427971945117,
-106.68723936613844,0.00018699428332081633,,,0.00018699428332081633,
-106.51709758131777,0.00018699428720550087,,,0.00018699428720550087,
-106.34695579649708,0.0001869942913957935,,,0.0001869942913957935,
-106.1768140116764,0.0001869942959157364,,,0.0001869942959157364,
-106.00667222685571,0.00018699430079126316,,,0.00018699430079126316,
-105.83653044203503,0.0001869943060503476,,,0.0001869943060503476,
-105.66638865721434,0.00018699431172316416,,,0.00018699431172316416,
-105.49624687239367,0.00018699431784226114,,,0.00018699431784226114,
-105.32610508757298,0.00018699432444274744,,,0.00018699432444274744,
-105.1559633027523,0.00018699433156249394,,,0.00018699433156249394,
-104.98582151793161,0.00018699433924235082,,,0.00018699433924235082,
-104.81567973311093,0.000186994347526382,,,0.000186994347526382,
-104.64553794829024,0.00018699435646211783,,,0.00018699435646211783,
-104.47539616346955,0.00018699436610082794,,,0.00018699436610082794,
-104.30525437864887,0.00018699437649781527,,,0.00018699437649781527,
-104.13511259382818,0.0001869943877127335,,,0.0001869943877127335,
-103.96497080900751,0.00018699439980992928,,,0.00018699439980992928,
-103.79482902418682,0.00018699441285881133,,,0.00018699441285881133,
-103.62468723936614,0.00018699442693424884,,,0.00018699442693424884,
-103.45454545454545,0.00018699444211700087,,,0.00018699444211700087,
-103.28440366972477,0.0001869944584941799,,,0.0001869944584941799,
-103.1142618849041,0.00018699447615975144,,,0.00018699447615975144,
-102.94412010008341,0.00018699449521507338,,,0.00018699449521507338,
-102.77397831526272,0.00018699451576947732,,,0.00018699451576947732,
-102.60383653044204,0.00018699453794089604,,,0.00018699453794089604,
-102.43369474562135,0.00018699456185654009,,,0.00018699456185654009,
-102.26355296080067,0.00018699458765362764,,,0.00018699458765362764,
-102.09341117597998,0.00018699461548017185,,,0.00018699461548017185,
